Directorate,Updated,TransNo,Service,Cost Centre,Supplier Name,Amount,Type
Resources,12/9/2009,2630787,Business Improvement,MC27,Vodafone Limited (Corporate),"1,530.64",Revenue
Resources,12/17/2009,2630789,Business Improvement,MC25,Vodafone Limited (Corporate),"1,099.07",Revenue
Resources,9/1/2009,2612298,Corporate HR,MY64,Ashridge,"1,709.26",Revenue
Resources,12/14/2009,2631717,Corporate HR,HB39,BAAF Adoption & Fostering,"1,491.80",Revenue
Resources,12/17/2009,2632779,Corporate HR,MY64,Belbin Associates,"1,200.00",Revenue
Resources,12/2/2009,2629620,Corporate HR,SSDC,Bournemouth University,545,Revenue
Resources,10/26/2009,2623122,Corporate HR,SSDC,Bracknell & Wokingham College,"1,042.00",Revenue
Resources,10/26/2009,2623123,Corporate HR,SSDC,Bracknell & Wokingham College,"1,042.00",Revenue
Resources,11/12/2009,2625951,Corporate HR,SSDC,Bracknell & Wokingham College,640,Revenue
Resources,12/17/2009,2632874,Corporate HR,SSDC,Chartered Institute of Environmental Health,805.1,Revenue
Resources,10/26/2009,2623120,Corporate HR,SSDC,East Berkshire College,650,Revenue
Resources,11/13/2009,2625876,Corporate HR,SSDC,East Berkshire College,"1,390.00",Revenue
Resources,10/26/2009,2623137,Corporate HR,SSDC,Easthampstead Baptist Church,577,Revenue
Resources,12/2/2009,2629619,Corporate HR,SSDC,Easthampstead Baptist Church,567.5,Revenue
Resources,9/18/2009,2615506,Corporate HR,SSDC,ETC,770,Revenue
Resources,9/18/2009,2615489,Corporate HR,SSDC,Gallagher Training Initiatives,650,Revenue
Resources,11/16/2009,2626536,Corporate HR,SSDC,Gallagher Training Initiatives,650,Revenue
Resources,10/8/2009,2619167,Corporate HR,HB39,Gillian Black,"1,120.00",Revenue
Resources,11/13/2009,2625941,Corporate HR,HB39,GMAP,"1,850.00",Revenue
Resources,9/1/2009,2612281,Corporate HR,MY64,Herald Productions Limited,"1,875.00",Revenue
Resources,9/8/2009,2612969,Corporate HR,MY64,Herald Productions Limited,"1,875.00",Revenue
Resources,10/15/2009,2620818,Corporate HR,MY64,Herald Productions Limited,"1,875.00",Revenue
Resources,11/13/2009,2625839,Corporate HR,MY64,Herald Productions Limited,"1,875.00",Revenue
Resources,12/9/2009,2630969,Corporate HR,MY64,Herald Productions Limited,"3,500.00",Revenue
Resources,12/17/2009,2632151,Corporate HR,MY64,Herald Productions Limited,"1,875.00",Revenue
Resources,10/26/2009,2623131,Corporate HR,MY64,Icendris Ltd,"1,750.00",Revenue
Resources,12/17/2009,2632893,Corporate HR,SSDC,Impact Training & Consultation Ltd,850,Revenue
Resources,11/13/2009,2625960,Corporate HR,EK84,In4tek Ltd,"8,000.00",Revenue
Resources,10/1/2009,2618121,Corporate HR,MY64,Infinite You Ltd,"3,695.21",Revenue
Resources,12/4/2009,2629990,Corporate HR,MY64,Infinite You Ltd,"1,385.20",Revenue
Resources,12/17/2009,2632670,Corporate HR,HC43,ITS - Integrated Technology Solutions UK,"5,325.69",Revenue
Resources,12/17/2009,2632902,Corporate HR,HB39,Kwango Ltd,695,Revenue
Resources,9/18/2009,2615388,Corporate HR,SSDC,Matrix Service Development & Training Limited,906,Revenue
Resources,9/18/2009,2615392,Corporate HR,SSDC,Matrix Service Development & Training Limited,"1,812.00",Revenue
Resources,10/26/2009,2623103,Corporate HR,SSDC,Matrix Service Development & Training Limited,947.5,Revenue
Resources,12/17/2009,2632908,Corporate HR,SSDC,Matrix Service Development & Training Limited,906,Revenue
Resources,9/25/2009,2616683,Corporate HR,MY64,MTS Consultancy Services Ltd,"9,000.00",Revenue
Resources,11/12/2009,2625794,Corporate HR,HC43,Noel Quinn Ltd,978.5,Revenue
Resources,12/1/2009,2629448,Corporate HR,EK84,Noel Quinn Ltd,670.5,Revenue
Resources,12/17/2009,2632830,Corporate HR,EK84,Noel Quinn Ltd,681,Revenue
Resources,11/26/2009,2628883,Corporate HR,SSDC,People To Places,"1,625.00",Revenue
Resources,11/5/2009,2624576,Corporate HR,MY64,Pivotal Performance Ltd,"1,161.00",Revenue
Resources,11/12/2009,2625958,Corporate HR,SSDC,Sweet & Maxwell Ltd,690,Revenue
Resources,12/17/2009,2632859,Corporate HR,HB39,Thames Valley Police Authority,"1,095.00",Revenue
Resources,12/9/2009,2630994,Corporate HR,MY64,The Chartered Institute of Marketing,"1,392.00",Revenue
Resources,10/12/2009,2619801,Corporate HR,SSDC,The Stroke Association,"1,000.00",Revenue
Resources,12/17/2009,2632843,Corporate HR,SSDC,The Stroke Association,"1,000.00",Revenue
Resources,11/13/2009,2625882,Corporate HR,SSDC,University Of Reading,"3,225.00",Revenue
Resources,10/12/2009,2619832,Corporate HR,SSDC,University Of Southampton,"3,390.00",Revenue
Resources,11/6/2009,2624879,Corporate IT,MY37,Access Infrastructure,762,Revenue
Resources,12/18/2009,2632800,Corporate IT,MY37,Access Infrastructure,670.14,Revenue
Resources,12/9/2009,2630855,Corporate IT,MY37,ANS Group Plc,"9,995.00",Revenue
Resources,11/25/2009,2628595,Corporate IT,MY37,Astun Technology Ltd,"7,006.00",Revenue
Resources,12/10/2009,2631056,Corporate IT,MY37,Avocent Software Limited,"10,216.82",Revenue
Resources,10/12/2009,2619746,Corporate IT,MY37,British Telecommunications Plc,"6,814.95",Revenue
Resources,11/3/2009,2624222,Corporate IT,MY37,British Telecommunications Plc,"12,586.59",Revenue
Resources,11/3/2009,2624316,Corporate IT,MY37,British Telecommunications Plc,"6,737.25",Revenue
Resources,10/26/2009,2623086,Corporate IT,MY30,Capita Software Services,"1,250.00",Revenue
Resources,9/7/2009,2612954,Corporate IT,MY37,Comserve Ltd,"1,110.75",Revenue
Resources,9/7/2009,2612955,Corporate IT,MY37,Comserve Ltd,"1,076.25",Revenue
Resources,12/15/2009,2631926,Corporate IT,MY37,Fast Corporate Services Ltd,"2,870.00",Revenue
Resources,12/18/2009,2632870,Corporate IT,MY37,Kenton Research Ltd,"9,485.00",Revenue
Resources,9/15/2009,2614561,Corporate IT,MY37,NCC Services Ltd (Part of NCC Group),945,Revenue
Resources,12/15/2009,2632228,Corporate IT,MY37,NCC Services Ltd (Part of NCC Group),755,Revenue
Resources,10/19/2009,2621398,Corporate IT,MY37,Olm Systems Ltd,"2,992.80",Revenue
Resources,10/27/2009,2623135,Corporate IT,MY30,Ordnance Survey,"14,359.37",Revenue
Resources,9/24/2009,2616414,Corporate IT,MY37,Phoenix Software Ltd,"12,000.00",Revenue
Resources,10/6/2009,2618617,Corporate IT,MY37,Phoenix Software Ltd,"8,142.06",Revenue
Resources,11/4/2009,2624570,Corporate IT,MY37,Phoenix Software Ltd,"1,460.16",Revenue
Resources,12/18/2009,2632806,Corporate IT,MY37,Secure Test (Part of NCC Group),755,Revenue
Resources,12/18/2009,2632810,Corporate IT,MY37,Telewest Business,"90,956.88",Revenue
Resources,10/9/2009,2618897,Council Tax & Business Rates Collection,MM12,Bailworth Solutions Limited,"1,461.63",Revenue
Resources,10/22/2009,2622393,Council Tax & Business Rates Collection,MM11,Capita Business Services Ltd,"4,660.00",Revenue
Resources,9/24/2009,2616419,Council Tax & Business Rates Collection,MM12,Dell  Corporation Ltd,"5,799.55",Revenue
Resources,10/28/2009,2623602,Council Tax & Business Rates Collection,MM12,Experian Ltd,"3,000.00",Revenue
Resources,9/5/2009,2612471,Council Tax & Business Rates Collection,MM12,Financial Data Management Ltd,998.52,Revenue
Resources,10/9/2009,2618986,Council Tax & Business Rates Collection,MM12,Financial Data Management Ltd,"1,248.15",Revenue
Resources,11/5/2009,2624733,Council Tax & Business Rates Collection,MM12,Financial Data Management Ltd,998.52,Revenue
Resources,12/2/2009,2629392,Council Tax & Business Rates Collection,MM12,Financial Data Management Ltd,540,Revenue
Resources,12/5/2009,2630203,Council Tax & Business Rates Collection,MM12,Financial Data Management Ltd,"1,198.52",Revenue
Resources,9/22/2009,2615888,Council Tax & Business Rates Collection,MM12,Royal Mail,"2,918.44",Revenue
Resources,10/22/2009,2622515,Council Tax & Business Rates Collection,MM12,Royal Mail,"2,223.12",Revenue
Resources,11/23/2009,2627772,Council Tax & Business Rates Collection,MM12,Royal Mail,"1,975.50",Revenue
Resources,12/18/2009,2633240,Council Tax & Business Rates Collection,MM12,Royal Mail,"2,387.41",Revenue
Resources,10/23/2009,2622911,CSC,CN06,Avalanche Rock Partnership,600,Capital
Resources,12/18/2009,2633188,CSC,CN06,Capita Business Services Ltd,"3,600.00",Capital
Resources,9/30/2009,2617533,CSC,CN06,Ecopy Inc,"5,500.00",Capital
Resources,9/17/2009,2615254,CSC,CN06,Firmstep,"3,000.00",Capital
Resources,11/20/2009,2627449,CSC,CN06,Improvement & Development Agency (I&DeA),"5,245.00",Capital
Resources,9/24/2009,2616644,CSC,CN06,Siemens plc,"2,000.00",Capital
Resources,11/25/2009,2628291,Customer Service Centre,MW80,Ambassador Catering (Henley) Co Ltd,"3,450.80",Revenue
Resources,10/22/2009,2622587,Customer Service Centre,MA03,D H Electrical Services Ltd,"1,088.00",Revenue
Resources,10/19/2009,2621497,Customer Service Centre,MA03,East Berkshire College,"1,135.00",Revenue
Resources,11/10/2009,2625002,Customer Service Centre,MW95,Interpoly Chemicals Ltd,"2,047.50",Revenue
Resources,11/23/2009,2627557,Customer Service Centre,MW80,Interpoly Chemicals Ltd,"2,047.50",Revenue
Resources,10/15/2009,2617843,Customer Service Centre,MA03,KPR Midlink Limited,"7,430.00",Revenue
Resources,12/9/2009,2630985,Customer Service Centre,MA03,KPR Midlink Limited,"1,500.00",Revenue
Resources,9/28/2009,2616044,Customer Service Centre,MA03,Pertemps Recruitment Partnership,625.87,Revenue
Resources,9/3/2009,2612655,Customer Service Centre,MW80,Scottish&Southern Energy PLC T/A South.Electric,556.45,Revenue
Resources,9/22/2009,2615920,Customer Service Centre,MW80,Scottish&Southern Energy PLC T/A South.Electric,669.54,Revenue
Resources,10/15/2009,2620581,Customer Service Centre,MW80,Scottish&Southern Energy PLC T/A South.Electric,613.14,Revenue
Resources,11/18/2009,2626863,Customer Service Centre,MW80,Scottish&Southern Energy PLC T/A South.Electric,711.35,Revenue
Resources,9/18/2009,2614732,Customer Service Centre,MW95,Solo Service Group,512.21,Revenue
Resources,10/16/2009,2620589,Customer Service Centre,MW95,Solo Service Group,512.21,Revenue
Resources,11/23/2009,2626877,Customer Service Centre,MW95,Solo Service Group,512.21,Revenue
Resources,12/17/2009,2631657,Customer Service Centre,MW95,Solo Service Group,512.21,Revenue
Resources,11/20/2009,2627355,Customer Service Centre,MW80,Total Gas & Power Limited,834.19,Revenue
Resources,10/6/2009,2618741,Customer Service Centre,MW80,Trane (UK) Limited,"1,374.00",Revenue
Resources,9/8/2009,2611284,Directorate Support,MA57,Canon (UK) Ltd,"1,351.75",Revenue
Resources,9/8/2009,2611287,Directorate Support,MA57,Canon (UK) Ltd,"4,037.41",Revenue
Resources,9/8/2009,2611289,Directorate Support,MA57,Canon (UK) Ltd,618.21,Revenue
Resources,9/8/2009,2612533,Directorate Support,MA57,Canon (UK) Ltd,649.99,Revenue
Resources,9/8/2009,2612537,Directorate Support,MA57,Canon (UK) Ltd,545.79,Revenue
Resources,9/8/2009,2612538,Directorate Support,MA57,Canon (UK) Ltd,"2,278.43",Revenue
Resources,9/8/2009,2612539,Directorate Support,MA57,Canon (UK) Ltd,519.45,Revenue
Resources,9/8/2009,2612546,Directorate Support,MA57,Canon (UK) Ltd,"1,283.78",Revenue
Resources,10/13/2009,2620210,Directorate Support,MA57,Canon (UK) Ltd,994.8,Revenue
Resources,10/13/2009,2620217,Directorate Support,MA57,Canon (UK) Ltd,"1,384.23",Revenue
Resources,10/13/2009,2620219,Directorate Support,MA57,Canon (UK) Ltd,"4,612.14",Revenue
Resources,10/20/2009,2621804,Directorate Support,MA57,Canon (UK) Ltd,"1,058.66",Revenue
Resources,11/4/2009,2624289,Directorate Support,MA57,Canon (UK) Ltd,"5,157.80",Revenue
Resources,11/4/2009,2624290,Directorate Support,MA57,Canon (UK) Ltd,"7,759.21",Revenue
Resources,11/4/2009,2624300,Directorate Support,MA57,Canon (UK) Ltd,"1,325.36",Revenue
Resources,11/4/2009,2624302,Directorate Support,MA57,Canon (UK) Ltd,"20,142.72",Revenue
Resources,12/8/2009,2630506,Directorate Support,MA57,Colourpoint Litho Limited,596,Revenue
Resources,12/8/2009,2630466,Directorate Support,MA57,Denta Print Ltd,658,Revenue
Resources,9/8/2009,2611281,Directorate Support,MA57,James McNaughton Paper,648.5,Revenue
Resources,10/16/2009,2620591,Directorate Support,MA57,James McNaughton Paper,"1,002.75",Revenue
Resources,12/8/2009,2630512,Directorate Support,MA57,James McNaughton Paper,"2,138.25",Revenue
Resources,10/13/2009,2620063,Directorate Support,MA57,London Letter File Company Ltd,975,Revenue
Resources,9/8/2009,2612557,Directorate Support,MA57,M P Printers (Thame) Ltd,"1,581.00",Revenue
Resources,9/8/2009,2612559,Directorate Support,MA57,M P Printers (Thame) Ltd,"1,325.00",Revenue
Resources,10/13/2009,2620233,Directorate Support,MA57,M P Printers (Thame) Ltd,"1,469.00",Revenue
Resources,10/13/2009,2620234,Directorate Support,MA57,M P Printers (Thame) Ltd,"1,325.00",Revenue
Resources,12/8/2009,2630511,Directorate Support,MA57,M P Printers (Thame) Ltd,649,Revenue
Resources,10/26/2009,2623044,Directorate Support,MA57,Phoenix Software Ltd,647.43,Revenue
Resources,9/8/2009,2611310,Directorate Support,MA57,Pitney Bowes Finance PLC,554.76,Revenue
Resources,9/17/2009,2615288,Directorate Support,MA57,Pitney Bowes Finance PLC,530,Revenue
Resources,9/8/2009,2611311,Directorate Support,MA57,Premier Paper Group,845.79,Revenue
Resources,9/8/2009,2611316,Directorate Support,MA57,Premier Paper Group,885,Revenue
Resources,9/8/2009,2611318,Directorate Support,MA57,Premier Paper Group,932.49,Revenue
Resources,9/8/2009,2612556,Directorate Support,MA57,Premier Paper Group,534.09,Revenue
Resources,9/17/2009,2615247,Directorate Support,MA57,Premier Paper Group,586.82,Revenue
Resources,10/13/2009,2620200,Directorate Support,MA57,Premier Paper Group,617.32,Revenue
Resources,10/23/2009,2622298,Directorate Support,MA57,Premier Paper Group,513.44,Revenue
Resources,10/23/2009,2622300,Directorate Support,MA57,Premier Paper Group,578.45,Revenue
Resources,11/4/2009,2624241,Directorate Support,MA57,Premier Paper Group,673.02,Revenue
Resources,12/7/2009,2630303,Directorate Support,MA57,Premier Paper Group,557.49,Revenue
Resources,12/7/2009,2630322,Directorate Support,MA57,Premier Paper Group,532.06,Revenue
Resources,12/7/2009,2630327,Directorate Support,MA57,Premier Paper Group,524.72,Revenue
Resources,12/8/2009,2630473,Directorate Support,MA57,Premier Paper Group,569.35,Revenue
Resources,12/9/2009,2630626,Directorate Support,MA57,Premier Paper Group,512.92,Revenue
Resources,12/9/2009,2630629,Directorate Support,MA57,Premier Paper Group,595.94,Revenue
Resources,9/8/2009,2611290,Directorate Support,MA57,Printdirect (Maidenhead) Ltd,"1,261.00",Revenue
Resources,10/13/2009,2620228,Directorate Support,MA57,Printdirect (Maidenhead) Ltd,542,Revenue
Resources,12/8/2009,2630450,Directorate Support,MA57,Printdirect (Maidenhead) Ltd,"2,864.00",Revenue
Resources,12/8/2009,2630508,Directorate Support,MA57,Printdirect (Maidenhead) Ltd,"2,864.00",Revenue
Resources,10/21/2009,2622294,Directorate Support,MA57,X 1 Limited,645,Revenue
Resources,12/21/2009,2633512,Directorate Support,MA57,X 1 Limited,"8,360.60",Revenue
Resources,9/11/2009,2614195,Housing & Council Tax Benefits,MR50,Banner Business Services Ltd,558.82,Revenue
Resources,9/9/2009,2613673,Housing & Council Tax Benefits,MR50,Capita Business Services Ltd,"2,592.50",Revenue
Resources,10/9/2009,2618890,Housing & Council Tax Benefits,MR50,Capita Business Services Ltd,604.5,Revenue
Resources,10/28/2009,2623511,Housing & Council Tax Benefits,MR50,Capita Business Services Ltd,"2,565.50",Revenue
Resources,12/17/2009,2631643,Housing & Council Tax Benefits,MR12,Capita Business Services Ltd,"4,145.00",Revenue
Resources,9/5/2009,2612284,Housing & Council Tax Benefits,MR60,Computacenter (UK) Limited,"1,002.16",Revenue
Resources,9/8/2009,2613201,Housing & Council Tax Benefits,MR60,Dell  Corporation Ltd,"1,348.60",Revenue
Resources,12/18/2009,2633218,Housing & Council Tax Benefits,MR50,Financial Data Management Ltd,"1,482.29",Revenue
Resources,10/19/2009,2620180,Housing & Council Tax Benefits,MR50,KPMG LLP,"3,000.00",Revenue
Resources,9/9/2009,2613666,Housing & Council Tax Benefits,MR50,Meritec Limited,"3,616.98",Revenue
Resources,9/7/2009,2612930,Housing & Council Tax Benefits,MR50,Print Image Network Ltd,"2,274.08",Revenue
Resources,10/26/2009,2623038,Housing & Council Tax Benefits,MR50,Serengeti Systems,"1,770.00",Revenue
Resources,9/24/2009,2616644,Housing & Council Tax Benefits,MR50,Siemens plc,"1,000.00",Revenue
Resources,10/19/2009,2621036,Human Resources,MA30,Ambleglow Ltd,"5,284.75",Revenue
Resources,10/19/2009,2621039,Human Resources,MA30,Ambleglow Ltd,"3,818.52",Revenue
Resources,11/5/2009,2624735,Human Resources,MA30,Ambleglow Ltd,"6,062.30",Revenue
Resources,11/12/2009,2625797,Human Resources,MA30,Ambleglow Ltd,"3,821.68",Revenue
Resources,12/8/2009,2630429,Human Resources,MA30,Ambleglow Ltd,"2,788.40",Revenue
Resources,12/8/2009,2630430,Human Resources,MA30,Ambleglow Ltd,"6,024.05",Revenue
Resources,12/11/2009,2631291,Human Resources,MA30,Ambleglow Ltd,"1,508.29",Revenue
Resources,9/10/2009,2613409,Human Resources,MA30,Criminal Records Bureau,"6,120.00",Revenue
Resources,10/12/2009,2618892,Human Resources,MA30,Criminal Records Bureau,"6,835.00",Revenue
